Kecamatan,Tahun,Prevalensi (%)
Banyuates,2019,16.4
Banyuates,2020,16.4
Banyuates,2021,18.85
Banyuates,2022,15.65
Banyuates,2023,10.7
Banyuates,2024,5.5
Camplong,2019,1.525
Camplong,2020,1.525
Camplong,2021,8.175
Camplong,2022,0.7625
Camplong,2023,1.65
Camplong,2024,1.8624999999999998
Jrengik,2019,15.2375
Jrengik,2020,15.2375
Jrengik,2021,14.9
Jrengik,2022,10.6625
Jrengik,2023,5.0875
Jrengik,2024,5.425000000000001
Karang Penang,2019,3.9299999999999997
Karang Penang,2020,3.9299999999999997
Karang Penang,2021,4.76
Karang Penang,2022,3.18
Karang Penang,2023,1.83
Karang Penang,2024,1.8800000000000001
Kedungdung,2019,13.045454545454545
Kedungdung,2020,13.045454545454545
Kedungdung,2021,9.72121212121212
Kedungdung,2022,7.6878787878787875
Kedungdung,2023,5.890909090909091
Kedungdung,2024,7.584848484848485
Ketapang,2019,5.278947368421052
Ketapang,2020,5.278947368421052
Ketapang,2021,2.2789473684210524
Ketapang,2022,3.478947368421052
Ketapang,2023,1.9157894736842105
Ketapang,2024,1.9105263157894736
Omben,2019,14.977272727272727
Omben,2020,14.977272727272727
Omben,2021,10.554545454545455
Omben,2022,6.872727272727274
Omben,2023,4.440909090909091
Omben,2024,6.281818181818181
Pangarengan,2019,9.6
Pangarengan,2020,9.6
Pangarengan,2021,9.6
Pangarengan,2022,10.616666666666665
Pangarengan,2023,7.866666666666667
Pangarengan,2024,4.483333333333333
Robatal,2019,11.383333333333333
Robatal,2020,11.383333333333333
Robatal,2021,9.783333333333333
Robatal,2022,11.144444444444444
Robatal,2023,5.866666666666666
Robatal,2024,3.6333333333333337
Sampang,2019,6.872222222222223
Sampang,2020,6.872222222222223
Sampang,2021,4.683333333333334
Sampang,2022,3.822222222222222
Sampang,2023,7.76111111111111
Sampang,2024,4.716666666666667
Sokobanah,2019,12.842857142857143
Sokobanah,2020,12.842857142857143
Sokobanah,2021,3.5
Sokobanah,2022,8.642857142857142
Sokobanah,2023,7.871428571428572
Sokobanah,2024,3.142857142857143
Sreseh,2019,15.983333333333334
Sreseh,2020,15.983333333333334
Sreseh,2021,18.583333333333332
Sreseh,2022,1.9416666666666667
Sreseh,2023,1.675
Sreseh,2024,3.308333333333333
Tambelangan,2019,11.772727272727273
Tambelangan,2020,11.772727272727273
Tambelangan,2021,12.0
Tambelangan,2022,10.181818181818182
Tambelangan,2023,5.536363636363636
Tambelangan,2024,3.627272727272727
Torjun,2019,7.625
Torjun,2020,7.625
Torjun,2021,11.958333333333334
Torjun,2022,6.175
Torjun,2023,2.975
Torjun,2024,6.5
